name,state,description,image_url,population,gastronomy,accommodation_types,season_start,culinary_origin,ad_banner_url,city_hall_phone,latitude,longitude,beaches_count,map_iframe_url,id,created_date,updated_date,created_by,is_sample
"Itajaí","Santa Catarina","Cidade de praias, entre elas Molhes, Atalaia, Geremias, Cabeçudas, Morcego, Solidão, Praia Brava e Amores, ampla área rural e belas paisagens naturais, com uma rica herança cultural de imigrantes alemães, italianos e portugueses, além de uma comunidade negra que tem na Sociedade Sebastião Lucas um de seus pontos de encontro.[58]  Itajaí possui um píer para navio de passageiros que serve de ponto de apoio no litoral de Santa Catarina, alfandegado, dotado de infraestrutura adequada e exclusiva para recepção de embarcação de grande porte, voltado aos cruzeiros marítimos de lazer. Sua estrutura para atracação de navios, conta com cinco Dolfins (dois de amarração e três de atracação), dez metros de calado, 220 metros de plataforma do cais, 945 metros de plataforma em concreto","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/e99b5e_itajai-marina.jpg","287289","Pratos típicos incluem sopa agnolini, lasanha, batata com pão, bijajica, maionese e salame, tortéi, polenta, radici, pão caseiro, salame, queijo colonial, frango a passarinho, galinha caipira ao molho, codornas, sagu, etc.","Hoteis, casa, host e pousadas","","Europeias, indígenas e orientais","null","(47) 3341-6000","null","null","5","","67dc4264e0e03c926b16032c","2025-03-20T16:29:24.120000","2025-03-20T16:29:24.120000","contato.jrsn@gmail.com","false"
"Itapema","Santa Catarina","","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/0aaecf_i1_13_13_1108_070322.jpg","75940","Marcada por pratos típicos à base de frutos do mar, como tainha na brasa, camarão e lula à dorê","Hoteis, casa, host e pousadas","","alemães, italianos, portugueses, poloneses, ucranianos, gaúchos e açorianos","null","(47) 3268-8000","null","null","8","","67dc4338152a299ef8d78cc0","2025-03-20T16:32:56.771000","2025-03-20T16:32:56.771000","contato.jrsn@gmail.com","false"
"Porto Belo","Santa Catarina","O próprio nome já dá indicações do que é esse ""paraíso"". Um pequeno porto rodeado de belezas naturais, formando uma baía com suas praias, ilhas e costões, por onde passam grandes e luxuosos navios. Porto Belo é um convite à parada certa no roteiro de cruzeiros marítimos e viagens de férias.  Praia de poucas ondas, areia branca e fina possui área exclusiva para banhistas, separada de lanchas ou jet skis. O município tem uma média de cem mil visitantes por temporada e oferece belos barcos, lanchas, e veleiros para passeios","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/9ad96d_praia-de-porto-belo-1-credito-bryan-kormann-prefeitura-de-porto-belo-divulgacao-1300x866.webp","30590","comida típica da região Sul, cervejas artesanais e coquetéis tropicais","Hoteis, casa, host e pousadas","","Influenciada pela culinária catarinense","null","","null","null","12","","67dc4433152a299ef8d7902f","2025-03-20T16:37:07.266000","2025-03-20T16:37:07.266000","contato.jrsn@gmail.com","false"
"Tijucas","Santa Catarina","A Praia de Tijucas é uma das maiores praias de Santa Catarina e está localizada no bairro Praça, em Tijucas. É conhecida pela sua extensão, mas também pelo apelido “Copa Lama” devido à poluição e ao descarte inadequado de resíduos","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/11438c_BR201208_fit_550_300.jpg","56674","Sopa agnolini, Lasanha, Batata com pão, Bijajica, Maionese e salame, Tortéi, Polenta, Radici, Pão caseiro, Queijo colonial.","Hoteis, casa, host e pousadas","","italiana, açoriana, indígena, poloneses, ucranianos, húngaros, holandeses, tiroleses e gaúchos","null","(48) 3263-8100","null","null","1","","67dc4563e0e03c926b16129a","2025-03-20T16:42:11.863000","2025-03-20T16:42:11.863000","contato.jrsn@gmail.com","false"
"Governador Celso ramos","Santa Catarina","Colonização da região do atual município de Governador Celso Ramos começou no século XVIII, com a chegada de imigrantes açorianos atraídos pela pesca da baleia, dando origem à Armação da Piedade. Como esta não oferecia condições para o desenvolvimento, os seus habitantes transferiram-se para a localidade de Ganchos, onde hoje está a sede do município.  O território do atual município pertenceu a Biguaçu até 6 de novembro de 1963, quando foi oficialmente desmembrado. A partir de 12 de maio de 1967 passou a se chamar Governador Celso Ramos, em homenagem a Celso Ramos, ex-governador do estado de Santa Catarina.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/6057f6_PraiadoSissial.jpg","14606","frutos do mar, peixes, crustáceos e moluscos","Hoteis, casa, host e pousadas","","Ameríndios e açorianos. ","null","(48) 3039-7563","null","null","45","","67e03c3f0d38443f5ff2b174","2025-03-23T16:52:15.185000","2025-03-23T16:57:55.995000","contato.jrsn@gmail.com","false"
"Biguaçu","Santa Catarina","Biguaçu é um dos municípios mais antigos de Santa Catarina, sendo sua origem a vila de São Miguel da Terra Firme, criada como Póvoa de São Miguel, nos termos da provisão de 9 de agosto de 1747, com a chegada dos primeiros açorianos. Iniciaram-se logo os trabalhos de construção da igreja matriz, feita de pau-a-pique e coberta de telhas, que foi dedicada a São Miguel Arcanjo. Achava-se edificada no mesmo lugar onde atualmente ainda se encontra a centenária igreja.  Por ato do Conselho Administrativo da Província em 1 de março de 1833 a freguesia de São Miguel foi elevada a vila. Em 17 de maio de 1833 tornou-se município, desmembrando-se da capital da então Província de Santa Catarina, Desterro. Em 1886 a sede do município sai da vila de São Miguel e vai para a sede atual, às margens do Rio Biguaçu. Em 1910 o nome do município é mudado para Biguaçu.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/b1a56f_P1170650x.jpg","82028","Cuca, Joelho de Porco, Linguiça Blumenau, Pinhão,. Churrasco, Chimarrão, cavaquinho, cueca virada ou orelha de gato","Hoteis, casa, host e pousadas","","Açoriana","null","(48) 3094-4100","null","null","7","","67e03f350d38443f5ff2bb69","2025-03-23T17:04:53.221000","2025-03-23T17:04:53.221000","contato.jrsn@gmail.com","false"
"São José","Santa Catarina","São José, Santa Catarina não tem praias próprias para banho, mas possui uma orla urbanizada para lazer. colonizada principalmente por açorianos, é povoada desde o século XVIII e teve diversas fases na sua história, tendo sido por décadas um importante entreposto comercial, recebido os primeiros colonos alemães de Santa Catarina e atingido um status de eixo comercial e cultural. Uma fase de decadência se seguiu entre os anos 1930 e 1960, quando o município virou uma cidade dormitório de Florianópolis, que compartilha sua única fronteira terrestre com São José. Essa situação mudou nos últimos anos, e apesar da capital ainda influenciar o município vizinho, seus bairros principais hoje são tão relevantes quanto os de Florianópolis, a economia é uma das maiores do estado, tendo o 5º PIB de Santa Catarina, foi uma das 20 cidades que mais geraram emprego no Brasil no ano de 2019 e a qualidade de vida tem índices elevados para os padrões brasileiros.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/861975_sao-jose-santa-catarina-2.png","289949","Beiju, Cuscuz, Rosca de polvilho, Biscoito de araruta, Broa de polvilho, Pão de inhame, Pão milho, Pão aipim, Bolinho de fubá de milho, Pamonha","Hoteis, casa, host e pousadas","","Açoriana, alemã, indígena e afro","null","(48) 3029-1321","null","null","1","","67e0419996091c3fa2165526","2025-03-23T17:15:05.825000","2025-03-23T17:15:05.826000","contato.jrsn@gmail.com","false"
"Palhoça","Santa Catarina","Palhoça hoje, é um município turístico, com opções de lazer como praias, parques ecológicos, pousadas, morros e restaurantes; guarda ainda muita das tradições, costumes e arquitetura deixados pelos seus colonizadores, cuja formação étnica é composta basicamente por povos de origem portuguesa, açoriana, italiana e alemã.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/9ac4d8_palhoca_guarda_309-scaled-1.jpg","245477","Variada, incluindo frutos do mar, churrasco, pizza, entre outros","Hoteis, casa, host e pousadas","","Portuguesa, açoriana, italiana e alemã","null","(48) 996188199","null","null","9","","67e042fbd07ed78a052ff05b","2025-03-23T17:20:59.179000","2025-03-23T17:20:59.179000","contato.jrsn@gmail.com","false"
"Garopaba","Santa Catarina","Confira as melhores dicas turísticas no Guia de Garopaba, que é um dos destinos mais famosos do sul do Brasil, em especial pelas suas praias paradisíacas e dunas incríveis. As praias da Gamboa, da Ferrugem e da Silveira são as mais concorridas, especialmente no verão. As Dunas do Siriú são uma atração à parte e lugar ideal para os amantes do sandboad.  As dunas do Siriú compõem parte do Parque Nacional da Serra do Tabuleiro, onde o contato com a natureza é intenso, com trilhas e belos mirantes. Garopaba é considerada a Capital do Surf, reconhecida internacionalmente e palco de algumas competições do esporte. Em Garopaba há opções de hospedagem para todos os bolsos, com ótimas pousadas, hotéis, campings, hostels e também casas de temporada.  O comércio diversificado é a segurança de uma estadia tranquila na região, bem como os ótimos restaurantes e bares com muitos pratos a base de frutos do mar. Garopaba no verão tem lindas praias e no inverno o espetáculo das Baleias Francas, que ficam pertinho da costa. Um encanto. Conte com o Guia de Garopaba para programar sua viagem com informações úteis, mapas, previsão do tempo e muito mais.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/03cb7d_144319201910285604959363118.jpg","29959","Marcada por pratos com frutos do mar, como anchova na brasa, e por hambúrgueres artesanais","Hoteis, casa, host e pousadas","","Árabe, italiana, mexicana, japonesa e gaúcha","null","(48) 3254-8100","null","null","9","","67e0441c053bb2836bd3b73a","2025-03-23T17:25:48.964000","2025-03-23T17:25:48.964000","contato.jrsn@gmail.com","false"
"Imbituba","Santa Catarina","O local é rústico e ideal tanto para quem busca baladas, quanto aos que procuram sossego. Imbituba tem praias para todos os estilos e com muitas atividades esportivas, como caminhadas, trilhas, cavalgadas, pesca, windsurf, kitesurf e também o surf, este último em destaque, pois Imbituba é a sede oficial do campeonato mndial de surf. Neste Guia de Imbituba você ainda confere recomendações dos melhores hotéis e pousadas na cidade, bem como campings e imobiliárias para alugar casas de temporada.  Os melhores restaurantes e bares também estão aqui no Guia de Imbituba. Aprecie também as melhores fotos e imagens em 360° de Imbituba e planeje sua viagem com serviços, utilidades, mapas, roteiros turísticos, previsão do tempo, agências, entre outras informações úteis para curtir ao máximo a região.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/3cc772_content_Lagoa-de-Ibiraquera-e-tema-de-forum-.jpg","52579","Frutos do mar Tainha assada, Camarões preparados de diversas formas, Ostras gratinadas","Hoteis, casa, host e pousadas","","Indígenas, dos tropeiros e dos imigrantes europeus","null","","null","null","9","","67e045071bd861deea43141e","2025-03-23T17:29:43.774000","2025-03-23T17:29:43.774000","contato.jrsn@gmail.com","false"
"Laguna","Santa Catarina","Terra de Anita Garibaldi, Laguna foi onde nasceu a heroína brasileira e viveu durante a Revolução Farroupilha com seu amado Giuseppe. Toda essa história e acontecimentos estão bem contatos no Museu Anita Garibaldi e em sua antiga casa, no Centro Histórico.  Mas, Laguna vai além das histórias. As belas praias também convidam os turistas para curtir o veraneio na região. Gi e de Itapirubá são as praias concorridas para banhos, enquanto que Tamborete, do Cardoso e Gravatá são ótimas para surf. A Prainha é point dos jovens e abriga o Farol de Santa Marta com uma bela vista panorâmica do litoral de Laguna. A temporada das Baleias Francas em Laguna atraem muitos observadores. Outra atração é a pesca com auxílio dos botos em Laguna.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/56535b_laguna-1605532049.jpg","42785","Inclui frutos do mar, comida brasileira, italiana e outras","Hoteis, casa, host e pousadas","","Portugueses e açorianos. ","null","(48) 3644-1655","null","null","20","","67e04823ab3632034bcba857","2025-03-23T17:42:59.156000","2025-03-23T17:42:59.156000","contato.jrsn@gmail.com","false"
"Jaguaruna","Santa Catarina","Jaguaruna é uma cidade litorânea que fica entre Laguna e Balneário Rincão. A cidade é conhecida por ter a maior onda do Brasil, a Laje da Jagua, no Balneário Arroio Corrente. ","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/978d8b_jaguaruna-sc-praia-do-torneiro.webp","19254","Baseada em frutos do mar, barreado e cachaça artesanal","Hoteis, casa, host e pousadas","","indígenas e catarinenses","null","(48) 3624-8400","null","null","6","","67e0496743426e5053d36f9f","2025-03-23T17:48:23.954000","2025-03-23T17:48:23.954000","contato.jrsn@gmail.com","false"
